,Q,Close,부채총계,자산총계,순이익,매출액,부채비율,자기자본이익률,매출순이익률
0,2011-1Q,81.59048388081212,162002,319533,10650,114004,0.5069961475027619,0.033329890809399965,0.09341777481491878
1,2011-2Q,82.46460348462301,164369,326204,10680,125486,0.5038840725435617,0.03274024843349561,0.085109095835392
2,2011-3Q,75.92140638828278,161015,323227,10330,125330,0.4981483601308059,0.03195896382418548,0.08242240485119286
3,2011-4Q,78.96238102988592,170308,331052,9400,121609,0.5144448606261252,0.028394330799995166,0.07729691059049906
4,2012-1Q,85.89354853476247,181035,345152,9450,124053,0.5245080428333024,0.027379241609493787,0.07617711784479214
5,2012-2Q,83.13857111855158,161660,329645,15910,127363,0.49040634622093465,0.048264041620531176,0.12491853992132723
6,2012-3Q,87.86142851814391,162836,335191,9570,115141,0.48580063307189036,0.02855088591280792,0.08311548449292606
7,2012-4Q,89.27677425261467,162135,333795,9950,114699,0.485732260818766,0.029808714929822195,0.08674879467127002
8,2013-1Q,89.36333325703939,166562,339639,9500,108357,0.49040893419189197,0.027970874958411725,0.0876731544800982
9,2013-2Q,89.9803124666214,170027,341615,6860,106666,0.4977152642594734,0.020081085432431246,0.06431290195563723
10,2013-3Q,90.15515613555908,172086,347564,7870,112372,0.4951203231635037,0.022643311735392618,0.07003524009539742
11,2013-4Q,92.4612500667572,166313,346808,8350,110860,0.479553528176974,0.024076722566953472,0.0753202237055746
12,2014-1Q,95.32114760602107,170142,353033,9100,106325,0.4819436143363368,0.025776627114179128,0.08558664472137315
13,2014-2Q,100.87349216521733,170455,358586,8780,111208,0.47535319281845917,0.02448506076645491,0.07895115459319474
14,2014-3Q,99.59765601158142,165269,352764,8070,107130,0.4684973523375401,0.022876483994965474,0.07532903948473817
15,2014-4Q,93.25312447547913,168429,349493,6570,87276,0.48192381535538625,0.018798659772870988,0.07527842705898528
16,2015-1Q,88.67459056416496,165515,342961,4940,67618,0.4826058939646199,0.014403970130714571,0.07305746990446331
17,2015-2Q,85.97269790891617,169262,348260,4190,74113,0.4860219376328031,0.012031241026819043,0.05653529070473466
18,2015-3Q,77.0518753528595,163823,340662,4240,67344,0.48089602010203664,0.012446354451039447,0.06296032311712996
19,2015-4Q,79.93781280517578,159948,336758,2780,40173,0.474964217628089,0.00825518621680851,0.0692007069424738
20,2016-1Q,80.08590197954021,164291,342789,1810,48707,0.4792773397045996,0.005280216109618453,0.037160983020921017
21,2016-2Q,88.42031252384186,165598,342473,1700,57694,0.4835359283797555,0.004963894963982562,0.029465802336464796
22,2016-3Q,88.7201554775238,162376,339386,2650,58677,0.47844047780403437,0.007808218370822603,0.04516249978696934
23,2016-4Q,87.38301595052083,156484,330314,1680,43036,0.47374316559395,0.005086069618605327,0.03903708523096942
24,2017-1Q,83.54306424048639,160438,344209,4010,58671,0.4661063481779965,0.011649898753373676,0.06834722435274668
25,2017-2Q,81.81857190813336,157174,343012,3350,58077,0.4582172052289716,0.009766422165988362,0.05768204280524132
26,2017-3Q,79.4044444977291,160229,349427,3970,61100,0.45854785119638725,0.01136145747180384,0.06497545008183306
27,2017-4Q,82.70698426261781,154191,348691,8380,66515,0.4421995405674365,0.024032739588919702,0.12598661955949786
28,2018-1Q,79.93557351534484,153915,348826,4650,68211,0.44123717842133325,0.013330428351097682,0.06817082288780402
29,2018-2Q,79.67453098297119,155257,348790,3950,73501,0.4451303076349666,0.011324865965193956,0.05374076543176283
30,2018-3Q,81.75952354310051,157797,354628,6240,76605,0.44496486459050044,0.01759590331276718,0.08145682396710398
31,2018-4Q,78.4569838993133,147668,346196,6000,71895,0.4265445008030133,0.017331222775537558,0.08345503859795535
32,2019-1Q,76.24377066190125,158168,356189,2350,63625,0.44405638579518175,0.0065976209259690785,0.03693516699410609
33,2019-2Q,77.41126929389105,162264,360729,3130,69091,0.4498224428864882,0.008676873775049969,0.04530257197030004
34,2019-3Q,72.30828106403351,162252,359361,3170,65049,0.45150141501164565,0.008821213209001533,0.0487324939660871
35,2019-4Q,69.15031230449677,163659,362597,5690,67173,0.45135232779090834,0.01569235266701048,0.08470665297068762
36,2020-1Q,55.215806653422696,167061,355804,-610,56158,0.4695309777293116,-0.001714427044102933,-0.010862210192670679
37,2020-2Q,44.85031763712565,174342,361495,-1080,32605,0.4822805294679041,-0.002987593189394044,-0.03312375402545622
38,2020-3Q,40.879531264305115,173431,358043,-680,46199,0.4843859536424396,-0.001899213222992769,-0.01471893331024481
39,2020-4Q,37.49328130483627,168620,332750,-20070,46540,0.5067468069120962,-0.06031555221637866,-0.43124194241512676
40,2021-1Q,52.42868854960457,169669,333770,2730,59147,0.5083410731941157,0.008179285136471223,0.04615618712698869
