,Date,경상수지,성장률,실업률,Close,Volume,interest
0,2007 2,-192344.0,0.6,4.5,81.19807579018509,22289582.82106782,5.36
1,2007 3,-191125.0,0.5,4.666666666666667,87.45694211735581,26676730.358504955,5.22875
2,2007 4,-169150.0,0.6,4.8,90.5230869585436,22578013.69220152,4.7025
3,2008 1,-160406.0,-0.6,5.0,86.48377007378473,28078235.714285713,2.68813
4,2008 2,-180281.0,0.5,5.333333333333333,89.71344868823735,25439146.320346322,2.78313
5,2008 3,-202887.0,-0.5,6.0,79.71030281804512,31239419.84126984,4.0525
6,2008 4,-152952.0,-2.2,6.866666666666667,74.9194313667244,52816271.63511545,1.425
7,2009 1,-83678.0,-1.1,8.266666666666667,73.2828096447569,41748282.703349285,1.1918799999999998
8,2009 2,-87632.0,-0.1,9.299999999999999,69.52675622166666,27931635.173160177,0.595
9,2009 3,-111200.0,0.4,9.633333333333335,69.29365081016464,22090400.93795094,0.28688
10,2009 4,-97226.0,1.1,9.933333333333332,71.99522746693003,23368335.0,0.25063
11,2010 1,-86827.0,0.4,9.833333333333334,66.7111519668777,28293011.67048055,0.2915
12,2010 2,-114039.0,0.9,9.633333333333333,64.07713997085374,33493604.011544008,0.53394
13,2010 3,-133305.0,0.7,9.466666666666667,60.218686886852105,23664475.685425684,0.29
14,2010 4,-97831.0,0.5,9.500000000000002,69.01937942174605,20752089.033189032,0.3028099999999999
15,2011 1,-100113.0,-0.2,9.033333333333333,81.5544664730651,21639178.630816173,0.303
16,2011 2,-122625.0,0.7,9.066666666666668,82.55107824427397,18304599.307359308,0.24575
17,2011 3,-128341.0,0.0,9.0,76.11576168910646,26216055.652173918,0.37433
18,2011 4,-104218.0,1.2,8.633333333333333,78.96238102988592,21248733.333333332,0.581
19,2012 1,-96177.0,0.8,8.266666666666667,85.88583345124216,15705816.06060606,0.46815
20,2012 2,-116778.0,0.4,8.2,83.17428756207443,18267390.873015873,0.4606
21,2012 3,-117834.0,0.1,8.033333333333333,87.95085574549103,13043047.07420726,0.3585
22,2012 4,-87323.0,0.1,7.8,89.25502387758286,13069073.968253968,0.306
23,2013 1,-72772.0,0.9,7.733333333333333,89.3472893854331,12729255.655806182,0.2826
24,2013 2,-92185.0,0.1,7.533333333333334,89.99236363497647,13536160.0,0.2731
25,2013 3,-103363.0,0.8,7.233333333333333,90.08678778446081,11693967.878787877,0.24885
26,2013 4,-68533.0,0.8,6.933333333333334,92.64593722973304,12616139.461697722,0.2461
27,2014 1,-71354.0,-0.3,6.666666666666667,95.24592319447096,12579538.763575606,0.2306
28,2014 2,-91906.0,1.4,6.2,100.87349216521733,9835861.904761905,0.2307
29,2014 3,-106988.0,1.2,6.066666666666667,99.54712817920063,9524620.346320346,0.2351
30,2014 4,-97564.0,0.6,5.7,93.34515137021366,14857623.389501423,0.2556
31,2015 1,-84583.0,0.9,5.533333333333334,88.82609210888923,15300898.285486443,0.2708
32,2015 2,-102922.0,0.7,5.433333333333334,86.01283498381467,10928494.74025974,0.2832
33,2015 3,-123022.0,0.4,5.1000000000000005,76.97340582425116,15329225.974025974,0.325
34,2015 4,-96829.0,0.2,5.033333333333333,79.99850030378862,14784475.606060607,0.6127
35,2016 1,-91554.0,0.6,4.8999999999999995,79.91468855083654,17785674.577352468,0.6286
36,2016 2,-101344.0,0.3,4.933333333333333,88.38677491357316,10819118.759018758,0.6541
37,2016 3,-113399.0,0.5,4.8999999999999995,88.82793331238382,11215726.590752244,0.8537
38,2016 4,-88570.0,0.6,4.766666666666667,87.38301595052083,10247073.015873017,0.9979
39,2017 1,-70511.0,0.6,4.566666666666667,83.59834985041964,12944625.57208238,1.1496
40,2017 2,-106964.0,0.4,4.3999999999999995,81.8204550492136,11318154.944178628,1.2992
41,2017 3,-98699.0,0.7,4.3,79.47521020087642,10212083.550724639,1.3339
42,2017 4,-89087.0,1.0,4.133333333333334,82.71511992197189,9333548.001443,1.69428
43,2018 1,-78779.0,0.9,4.033333333333333,79.86827877111602,15856926.315789474,2.31175
44,2018 2,-99624.0,0.7,3.9333333333333336,79.66865774597785,13153884.776334777,2.33575
45,2018 3,-139159.0,0.5,3.766666666666667,81.88590032472139,10345405.786204642,2.39838
46,2018 4,-132138.0,0.3,3.8333333333333335,78.17771184153018,15668330.242272347,2.80763
47,2019 1,-106218.0,0.7,3.8666666666666667,76.26049306259219,12897535.839598998,2.59975
48,2019 2,-131984.0,0.4,3.6666666666666665,77.40581257257283,10923028.109668111,2.31988
49,2019 3,-140241.0,0.6,3.6,72.28525739727598,10627126.515151516,2.08513
50,2019 4,-101785.0,0.6,3.6,69.18248288540941,12139254.641131816,1.90838
51,2020 1,-97938.0,-1.3,3.8000000000000003,55.56245330508663,31866020.23239918,1.4505
52,2020 2,-162596.0,-9.0,13.066666666666668,44.80068705119785,29379764.76190476,0.302
53,2020 3,-196912.0,7.5,8.8,40.83922079011991,23283075.46897547,0.22513
54,2020 4,-189772.0,1.1,6.766666666666667,37.473803080934466,30433092.72727273,0.23838
